Word;Frequency;%
the;267;5.06%
and;215;4.074%
to;186;3.525%
i;154;2.918%
of;147;2.786%
my;101;1.914%
a;94;1.781%
that;93;1.762%
was;92;1.743%
in;77;1.459%
me;74;1.402%
it;65;1.232%
had;60;1.137%
as;56;1.061%
he;55;1.042%
but;52;0.985%
not;47;0.891%
for;42;0.796%
we;42;0.796%
with;38;0.72%
so;35;0.663%
all;34;0.644%
at;33;0.625%
father;32;0.606%
this;32;0.606%
be;31;0.587%
or;31;0.587%
would;31;0.587%
by;29;0.55%
sea;28;0.531%
were;27;0.512%
what;27;0.512%
which;27;0.512%
ship;26;0.493%
his;24;0.455%
go;23;0.436%
us;23;0.436%
you;23;0.436%
out;22;0.417%
upon;22;0.417%
our;20;0.379%
more;19;0.36%
should;19;0.36%
very;19;0.36%
have;18;0.341%
into;18;0.341%
any;17;0.322%
if;17;0.322%
on;17;0.322%
time;17;0.322%
who;17;0.322%
being;16;0.303%
could;16;0.303%
life;16;0.303%
s;16;0.303%
after;15;0.284%
never;15;0.284%
no;15;0.284%
such;15;0.284%
them;15;0.284%
when;15;0.284%
now;14;0.265%
one;14;0.265%
they;14;0.265%
away;13;0.246%
from;13;0.246%
nothing;13;0.246%
storm;13;0.246%
went;13;0.246%
wind;13;0.246%
home;12;0.227%
men;12;0.227%
might;12;0.227%
than;12;0.227%
against;11;0.208%
an;11;0.208%
been;11;0.208%
before;11;0.208%
did;11;0.208%
good;11;0.208%
great;11;0.208%
little;11;0.208%
master;11;0.208%
mother;11;0.208%
said;11;0.208%
she;11;0.208%
their;11;0.208%
though;11;0.208%
yet;11;0.208%
boat;10;0.19%
first;10;0.19%
much;10;0.19%
shore;10;0.19%
thoughts;10;0.19%
are;9;0.171%
come;9;0.171%
do;9;0.171%
him;9;0.171%
how;9;0.171%
knew;9;0.171%
nor;9;0.171%
see;9;0.171%
some;9;0.171%
till;9;0.171%
told;9;0.171%
came;8;0.152%
however;8;0.152%
made;8;0.152%
middle;8;0.152%
most;8;0.152%
myself;8;0.152%
off;8;0.152%
run;8;0.152%
saw;8;0.152%
thought;8;0.152%
two;8;0.152%
up;8;0.152%
well;8;0.152%
while;8;0.152%
young;8;0.152%
began;7;0.133%
called;7;0.133%
day;7;0.133%
days;7;0.133%
got;7;0.133%
having;7;0.133%
her;7;0.133%
make;7;0.133%
man;7;0.133%
many;7;0.133%
near;7;0.133%
part;7;0.133%
say;7;0.133%
station;7;0.133%
where;7;0.133%
without;7;0.133%
about;6;0.114%
continued;6;0.114%
every;6;0.114%
hand;6;0.114%
indeed;6;0.114%
like;6;0.114%
mind;6;0.114%
ships;6;0.114%
take;6;0.114%
there;6;0.114%
towards;6;0.114%
way;6;0.114%
able;5;0.095%
abroad;5;0.095%
again;5;0.095%
another;5;0.095%
ashamed;5;0.095%
country;5;0.095%
discourse;5;0.095%
down;5;0.095%
foot;5;0.095%
give;5;0.095%
god;5;0.095%
going;5;0.095%
is;5;0.095%
kind;5;0.095%
let;5;0.095%
mankind;5;0.095%
night;5;0.095%
only;5;0.095%
resolved;5;0.095%
roads;5;0.095%
state;5;0.095%
then;5;0.095%
these;5;0.095%
think;5;0.095%
too;5;0.095%
voyage;5;0.095%
will;5;0.095%
word;5;0.095%
world;5;0.095%
afterwards;4;0.076%
back;4;0.076%
blew;4;0.076%
born;4;0.076%
broke;4;0.076%
cabin;4;0.076%
call;4;0.076%
can;4;0.076%
close;4;0.076%
common;4;0.076%
consent;4;0.076%
cut;4;0.076%
distress;4;0.076%
duty;4;0.076%
easy;4;0.076%
even;4;0.076%
far;4;0.076%
founder;4;0.076%
happy;4;0.076%
here;4;0.076%
hull;4;0.076%
killed;4;0.076%
know;4;0.076%
last;4;0.076%
leaving;4;0.076%
london;4;0.076%
mast;4;0.076%
must;4;0.076%
other;4;0.076%
ought;4;0.076%
over;4;0.076%
partly;4;0.076%
pump;4;0.076%
quite;4;0.076%
resolutions;4;0.076%
rest;4;0.076%
rode;4;0.076%
seamen;4;0.076%
several;4;0.076%
since;4;0.076%
themselves;4;0.076%
things;4;0.076%
wise;4;0.076%
yarmouth;4;0.076%
account;3;0.057%
ahead;3;0.057%
among;3;0.057%
anchor;3;0.057%
anything;3;0.057%
assist;3;0.057%
best;3;0.057%
board;3;0.057%
boatswain;3;0.057%
body;3;0.057%
brother;3;0.057%
calm;3;0.057%
circumstances;3;0.057%
condition;3;0.057%
cried;3;0.057%
desires;3;0.057%
either;3;0.057%
entirely;3;0.057%
ever;3;0.057%
exposed;3;0.057%
family;3;0.057%
fell;3;0.057%
few;3;0.057%
found;3;0.057%
four;3;0.057%
fresh;3;0.057%
given;3;0.057%
grave;3;0.057%
hands;3;0.057%
has;3;0.057%
head;3;0.057%
heart;3;0.057%
heaven;3;0.057%
help;3;0.057%
high;3;0.057%
himself;3;0.057%
hold;3;0.057%
house;3;0.057%
ill;3;0.057%
just;3;0.057%
labour;3;0.057%
land;3;0.057%
light;3;0.057%
lived;3;0.057%
living;3;0.057%
lost;3;0.057%
manner;3;0.057%
meant;3;0.057%
miseries;3;0.057%
morning;3;0.057%
nature;3;0.057%
nay;3;0.057%
next;3;0.057%
obliged;3;0.057%
observed;3;0.057%
own;3;0.057%
passion;3;0.057%
past;3;0.057%
persuasions;3;0.057%
